"Issue Date","Tender","Security Type","Discount Rate","Interest Rate"
"06 May 2024","1901","91 DAY BILL","23.9260","25.4482"
"29 Apr 2024","1900","91 DAY BILL","24.0140","25.5478"
"22 Apr 2024","1899","91 DAY BILL","24.1032","25.6487"
"15 Apr 2024","1898","91 DAY BILL","24.1830","25.7391"
"08 Apr 2024","1897","91 DAY BILL","24.1768","25.7321"
"01 Apr 2024","1896","91 DAY BILL","24.1920","25.7493"
"25 Mar 2024","1895","91 DAY BILL","24.4121","25.9988"
"18 Mar 2024","1894","91 DAY BILL","24.8523","26.4987"
"11 Mar 2024","1893","91 DAY BILL","25.0696","26.7459"
"04 Mar 2024","1892","91 DAY BILL","25.2916","26.9987"
"26 Feb 2024","1891","91 DAY BILL","25.5408","27.2829"
"19 Feb 2024","1890","91 DAY BILL","26.0750","27.8933"
"12 Feb 2024","1889","91 DAY BILL","26.1652","27.9965"
"05 Feb 2024","1888","91 DAY BILL","26.4285","28.2982"
"29 Jan 2024","1887","91 DAY BILL","26.6840","28.5913"
"22 Jan 2024","1886","91 DAY BILL","26.9392","28.8845"
"15 Jan 2024","1885","91 DAY BILL","27.0743","29.0399"
"08 Jan 2024","1884","91 DAY BILL","27.2049","29.1902"
"01 Jan 2024","1883","91 DAY BILL","27.2498","29.2419"
"25 Dec 2023","1882","91 DAY BILL","27.3510","29.3585"
"18 Dec 2023","1881","91 DAY BILL","27.0826","29.0494"
"11 Dec 2023","1880","91 DAY BILL","27.5463","29.5836"
"04 Dec 2023","1879","91 DAY BILL","27.5331","29.5684"
"27 Nov 2023","1878","91 DAY BILL","27.4721","29.4980"
"20 Nov 2023","1877","91 DAY BILL","27.6842","29.7427"
"13 Nov 2023","1876","91 DAY BILL","27.7702","29.8420"
"06 Nov 2023","1875","91 DAY BILL","27.8800","29.9688"
"30 Oct 2023","1874","91 DAY BILL","27.7500","29.8187"
"23 Oct 2023","1873","91 DAY BILL","27.6737","29.7305"
"16 Oct 2023","1872","91 DAY BILL","27.4589","29.4828"
"09 Oct 2023","1871","91 DAY BILL","27.2088","29.1947"
"02 Oct 2023","1870","91 DAY BILL","26.8619","28.7956"
"25 Sep 2023","1869","91 DAY BILL","26.6081","28.5042"
"18 Sep 2023","1868","91 DAY BILL","26.2731","28.1201"
"11 Sep 2023","1867","91 DAY BILL","25.9819","27.7868"
"04 Sep 2023","1866","91 DAY BILL","25.6096","27.3614"
"28 Aug 2023","1865","91 DAY BILL","25.3130","27.0231"
"21 Aug 2023","1864","91 DAY BILL","25.0357","26.7073"
"14 Aug 2023","1863","91 DAY BILL","24.4941","26.0918"
"07 Aug 2023","1862","91 DAY BILL","24.0357","25.5723"
"31 Jul 2023","1861","91 DAY BILL","23.7434","25.2417"
"24 Jul 2023","1860","91 DAY BILL","23.4595","24.9211"
"17 Jul 2023","1859","91 DAY BILL","23.2515","24.6865"
"10 Jul 2023","1858","91 DAY BILL","22.9904","24.3924"
"03 Jul 2023","1857","91 DAY BILL","22.6006","23.9540"
"26 Jun 2023","1856","91 DAY BILL","21.7239","22.9715"
"19 Jun 2023","1855","91 DAY BILL","20.5768","21.6927"
"12 Jun 2023","1854","91 DAY BILL","20.1955","21.2694"
"05 Jun 2023","1853","91 DAY BILL","20.0949","21.1578"
"29 May 2023","1852","91 DAY BILL","19.7715","20.7996"
"22 May 2023","1851","91 DAY BILL","19.5570","20.5623"
"15 May 2023","1850","91 DAY BILL","19.4381","20.4309"
"08 May 2023","1849","91 DAY BILL","19.2816","20.2581"
"01 May 2023","1848","91 DAY BILL","18.9999","19.9474"
"24 Apr 2023","1847","91 DAY BILL","18.9238","19.8635"
"17 Apr 2023","1846","91 DAY BILL","18.8156","19.7444"
"10 Apr 2023","1845","91 DAY BILL","18.7693","19.6934"
"03 Apr 2023","1844","91 DAY BILL","18.4918","19.3881"
"27 Mar 2023","1843","91 DAY BILL","18.0276","18.8784"
"20 Mar 2023","1842","91 DAY BILL","17.7086","18.5289"
"13 Mar 2023","1841","91 DAY BILL","19.0474","19.9998"
"06 Mar 2023","1840","91 DAY BILL","22.7847","24.1609"
"27 Feb 2023","1839","91 DAY BILL","32.6478","35.5493"
"20 Feb 2023","1838","91 DAY BILL","32.7472","35.6672"
"13 Feb 2023","1837","91 DAY BILL","32.8034","35.7339"
"06 Feb 2023","1836","91 DAY BILL","32.8131","35.7454"
"30 Jan 2023","1835","91 DAY BILL","32.7870","35.7144"
"23 Jan 2023","1834","91 DAY BILL","32.7194","35.6342"
"16 Jan 2023","1833","91 DAY BILL","32.5761","35.4643"
"09 Jan 2023","1832","91 DAY BILL","32.7407","35.6595"
"02 Jan 2023","1831","91 DAY BILL","32.4909","35.3634"
"26 Dec 2022","1830","91 DAY BILL","32.4888","35.3609"
"19 Dec 2022","1829","91 DAY BILL","32.1228","34.9277"
"12 Dec 2022","1828","91 DAY BILL","32.6642","35.5688"
"05 Dec 2022","1827","91 DAY BILL","33.1811","36.1825"
"28 Nov 2022","1826","91 DAY BILL","32.6422","35.5427"
"21 Nov 2022","1825","91 DAY BILL","32.3501","35.1966"
"14 Nov 2022","1824","91 DAY BILL","31.6712","34.3945"
"07 Nov 2022","1823","91 DAY BILL","30.7755","33.3407"
"31 Oct 2022","1822","91 DAY BILL","30.2326","32.7045"
"24 Oct 2022","1821","91 DAY BILL","29.7628","32.1554"
"17 Oct 2022","1820","91 DAY BILL","29.1096","31.3943"
"10 Oct 2022","1819","91 DAY BILL","28.7388","30.9634"
"03 Oct 2022","1818","91 DAY BILL","28.2986","30.4530"
"26 Sep 2022","1817","91 DAY BILL","28.0627","30.1800"
"19 Sep 2022","1816","91 DAY BILL","27.8262","29.9067"
"12 Sep 2022","1815","91 DAY BILL","27.4597","29.4837"
"05 Sep 2022","1814","91 DAY BILL","27.0789","29.0452"
"29 Aug 2022","1813","91 DAY BILL","26.7039","28.6142"
"22 Aug 2022","1812","91 DAY BILL","25.9246","27.7213"
"15 Aug 2022","1811","91 DAY BILL","25.5923","27.3416"
"08 Aug 2022","1810","91 DAY BILL","25.3288","27.0411"
"01 Aug 2022","1809","91 DAY BILL","25.0424","26.7149"
"25 Jul 2022","1808","91 DAY BILL","24.7129","26.3403"
"18 Jul 2022","1807","91 DAY BILL","24.3735","25.9550"
"11 Jul 2022","1806","91 DAY BILL","24.3193","25.8936"
"04 Jul 2022","1805","91 DAY BILL","24.3092","25.8821"
"27 Jun 2022","1804","91 DAY BILL","24.0940","25.6383"
"20 Jun 2022","1803","91 DAY BILL","23.2462","24.6805"
"13 Jun 2022","1802","91 DAY BILL","22.3735","23.6991"
"06 Jun 2022","1801","91 DAY BILL","21.3684","22.5743"
"30 May 2022","1800","91 DAY BILL","18.9922","19.9389"
"23 May 2022","1799","91 DAY BILL","18.2120","19.0807"
"16 May 2022","1798","91 DAY BILL","17.4319","18.2262"
"09 May 2022","1797","91 DAY BILL","17.1150","17.8800"
"02 May 2022","1796","91 DAY BILL","16.6825","17.4085"
"25 Apr 2022","1795","91 DAY BILL","16.1057","16.7814"
"18 Apr 2022","1794","91 DAY BILL","15.6883","16.3287"
"11 Apr 2022","1793","91 DAY BILL","15.1447","15.7407"
"04 Apr 2022","1792","91 DAY BILL","14.3143","14.8456"
"28 Mar 2022","1791","91 DAY BILL","13.6605","14.1435"
"21 Mar 2022","1790","91 DAY BILL","12.9799","13.4152"
"14 Mar 2022","1789","91 DAY BILL","12.8288","13.2539"
"07 Mar 2022","1788","91 DAY BILL","12.7238","13.1418"
"28 Feb 2022","1787","91 DAY BILL","12.6160","13.0269"
"21 Feb 2022","1786","91 DAY BILL","12.5106","12.9145"
"14 Feb 2022","1785","91 DAY BILL","12.2953","12.6852"
"07 Feb 2022","1784","91 DAY BILL","12.2759","12.6646"
"31 Jan 2022","1783","91 DAY BILL","12.2467","12.6335"
"24 Jan 2022","1782","91 DAY BILL","12.1646","12.5461"
"17 Jan 2022","1781","91 DAY BILL","12.1412","12.5213"
"10 Jan 2022","1780","91 DAY BILL","12.1446","12.5249"
"03 Jan 2022","1779","91 DAY BILL","12.1453","12.5256"
"27 Dec 2021","1778","91 DAY BILL","12.1326","12.5121"
"20 Dec 2021","1777","91 DAY BILL","12.1276","12.5068"
"13 Dec 2021","1776","91 DAY BILL","12.0947","12.4718"
"06 Dec 2021","1775","91 DAY BILL","12.1009","12.4784"
"29 Nov 2021","1774","91 DAY BILL","12.1228","12.5017"
"22 Nov 2021","1773","91 DAY BILL","12.1176","12.4962"
"15 Nov 2021","1772","91 DAY BILL","12.1058","12.4836"
"08 Nov 2021","1771","91 DAY BILL","12.1049","12.4827"
"01 Nov 2021","1770","91 DAY BILL","12.0708","12.4464"
"25 Oct 2021","1769","91 DAY BILL","12.0831","12.4595"
"18 Oct 2021","1768","91 DAY BILL","12.0713","12.4469"
"11 Oct 2021","1767","91 DAY BILL","12.0970","12.4743"
"04 Oct 2021","1766","91 DAY BILL","12.0960","12.4732"
"27 Sep 2021","1765","91 DAY BILL","12.1142","12.4925"
"20 Sep 2021","1764","91 DAY BILL","12.1161","12.4946"
"13 Sep 2021","1763","91 DAY BILL","12.0751","12.4510"
"06 Sep 2021","1762","91 DAY BILL","12.0741","12.4499"
"30 Aug 2021","1761","91 DAY BILL","12.0857","12.4622"
"23 Aug 2021","1760","91 DAY BILL","12.0490","12.4232"
"16 Aug 2021","1759","91 DAY BILL","12.0931","12.4701"
"09 Aug 2021","1758","91 DAY BILL","12.1414","12.5215"
"02 Aug 2021","1757","91 DAY BILL","12.1667","12.5484"
"26 Jul 2021","1756","91 DAY BILL","12.1800","12.5625"
"19 Jul 2021","1755","91 DAY BILL","12.1759","12.5582"
"12 Jul 2021","1754","91 DAY BILL","12.1811","12.5637"
"05 Jul 2021","1753","91 DAY BILL","12.2033","12.5873"
"28 Jun 2021","1752","91 DAY BILL","12.2384","12.6247"
"21 Jun 2021","1751","91 DAY BILL","12.2405","12.6269"
"14 Jun 2021","1750","91 DAY BILL","12.2523","12.6395"
"07 Jun 2021","1749","91 DAY BILL","12.3149","12.7061"
"31 May 2021","1748","91 DAY BILL","12.3842","12.7799"
"24 May 2021","1747","91 DAY BILL","12.3623","12.7566"
"17 May 2021","1746","91 DAY BILL","12.3918","12.7880"
"10 May 2021","1745","91 DAY BILL","12.3935","12.7898"
"03 May 2021","1744","91 DAY BILL","12.4376","12.8367"
"26 Apr 2021","1743","91 DAY BILL","12.3856","12.7814"
"19 Apr 2021","1742","91 DAY BILL","12.3983","12.7949"
"12 Apr 2021","1741","91 DAY BILL","12.4123","12.8098"
"05 Apr 2021","1740","91 DAY BILL","12.4456","12.8453"
"29 Mar 2021","1739","91 DAY BILL","12.4729","12.8744"
"22 Mar 2021","1738","91 DAY BILL","12.4934","12.8962"
"15 Mar 2021","1737","91 DAY BILL","12.6141","13.0248"
"08 Mar 2021","1736","91 DAY BILL","12.6366","13.0488"
"01 Mar 2021","1735","91 DAY BILL","12.8430","13.2690"
"22 Feb 2021","1734","91 DAY BILL","12.6968","13.1130"
"15 Feb 2021","1733","91 DAY BILL","12.8085","13.2322"
"08 Feb 2021","1732","91 DAY BILL","13.3553","13.8166"
"01 Feb 2021","1731","91 DAY BILL","13.5812","14.0585"
"25 Jan 2021","1730","91 DAY BILL","13.6038","14.0827"
"18 Jan 2021","1729","91 DAY BILL","13.6088","14.0881"
"11 Jan 2021","1728","91 DAY BILL","13.6134","14.0930"
